project,path,size_bytes,sha256,extension,category
web-main,projects/web-main/Dockerfile.frontend,812,6887b8021fa9d6a8b72a27c3a8305cac20c4c8bb1a967e6e05fe15153a6653a0,.frontend,other
web-main,projects/web-main/HANDOFF_FOR_NEXT_MODEL.md,6731,df1fa7255288ed5c41fc509c1cf924e3a9d8f233b25a7990b9bd2e3ec0e71153,.md,documentation
web-main,projects/web-main/HANDOFF_FOR_NEXT_SESSION.md,5885,d5d0b9c4cb1c3a5aeee27ac5a0248d44730205c576ad5aec68320cf929387fb0,.md,documentation
web-main,projects/web-main/HANDOFF_FOR_ZCODE_20260721.md,14166,63a338e4d9f55b4dd999dd65c1a2961960c5fb83e4f7525873685479431ed4c4,.md,documentation
web-main,projects/web-main/PRODUCT.md,1318,04d67cb1bc79c6b96573caf03340401bf382381e98cfe91d95166a93feef6788,.md,documentation
web-main,projects/web-main/PROJECT.md,1762,863c5d4bf05c6798ae7f2d365f02bc23a29442790c77e79c0f03b523da09c8ec,.md,documentation
web-main,projects/web-main/PROJECT_STATE.json,1925,a4649de030e60b8be418c8a55ff864ad06d0392f41bc7c49f62967e32c11b050,.json,configuration-or-contract
web-main,projects/web-main/README.md,8086,2afb4e03880b03eefdbb4f6a033e174a22aaf4164682d052eb76d2db75cf9b22,.md,documentation
web-main,projects/web-main/SECURITY_REVIEW_AGENT2.md,7107,2c3038fc9aed6f4d295353426e6bcf39c083837efef52810c371d0396cd745cc,.md,documentation
web-main,projects/web-main/SECURITY_SUMMARY_AGENT2.md,4870,bab030cf0b92c6c7a62e1995edaedc23befab4a22b57cafb3ac4c1ccbf8cc28b,.md,documentation
web-main,projects/web-main/adversarial_security_report.json,3381,06f60acc42054ea1e031e4908164a9e918e367d5e14e946d5230fb190f2bf170,.json,configuration-or-contract
web-main,projects/web-main/backend/__init__.py,53,31896b86a21c6d7c01a6adc1fc2090b74cea2b23e6cca99a6df39b683b894e49,.py,source
web-main,projects/web-main/backend/api/__init__.py,27,6f640b1120aea81cd00d47781fa72c82adfbb4009cfc5ba0989fcc7ae9098a6f,.py,source
web-main,projects/web-main/backend/api/accounts.py,777,9999f410ba46a3f3102ce417d9f0256a82f81fe93dec9c04526328df1f3538f9,.py,source
web-main,projects/web-main/backend/api/admin.py,2701,9d466b34240e83f09a0c16d3ce1c51c11136c49a4ce51fa0eaa45e79b6882691,.py,source
web-main,projects/web-main/backend/api/artifacts.py,1757,97ab4858b977c759af3048f725bb703aca6fdd919633e372692e866790024476,.py,source
web-main,projects/web-main/backend/api/billing.py,4060,fe05b0bb98943370c6d7397f58911277680db91aa8b4397b7ed84f2db4d40e0f,.py,source
web-main,projects/web-main/backend/api/data_crud.py,1996,f1bc361810e50989337baf38f639fecb1d8d2986b106fb39b0d3134ad84d1354,.py,source
web-main,projects/web-main/backend/api/data_preparation.py,10219,d8b03e880a6808183960bb46565bb736ddcf14828453e5b976d5c0413677cde4,.py,source
web-main,projects/web-main/backend/api/eeg_files.py,4037,70e6b7f165d2c276494d6b369f7bc48446f28613a0f05b43dcdcac9491668759,.py,source
web-main,projects/web-main/backend/api/epilepsy_phase_validator.py,16766,d77e4f6af6261702062f4b6102afbff78ab895e235613be2cb26eb87d2408f09,.py,source
web-main,projects/web-main/backend/api/epilepsy_workbench.py,62459,eb793cf5fd41e5f37df9a4d02bfdf76b602c33dd7d80b3334b5120e520578fb8,.py,source
web-main,projects/web-main/backend/api/health.py,712,0217c6a7b20c67e180b5d216e4132814892701a058cf0dfe758a4b036cf42136,.py,source
web-main,projects/web-main/backend/api/lab_demo.py,13068,963d02e77d67ae2b1ef99985bc90154d45a9882ccd561f955480f1038b567f58,.py,source
web-main,projects/web-main/backend/api/lab_edf_reviewer.py,6140,72995c06a6cc6f6e5d7ff9aa60e6abbf1ce7037cb90dd998ae39294d4a5b3212,.py,source
web-main,projects/web-main/backend/api/lab_epilepsy_full_flow.py,66089,d124851d9600d58b35496390f2e5f30db629a50d1d9f55131f2d7171ded4f016,.py,source
web-main,projects/web-main/backend/api/projects.py,6265,ec1466d43f082a02ed6bf6047a7355fc237c63996e9b95e7e9f1aa32733b60a3,.py,source
web-main,projects/web-main/backend/api/reports.py,2708,d1ee895d02765cd925c358599c6fa0bb671f0800a4adedeae44d43358bc4d1fb,.py,source
web-main,projects/web-main/backend/api/subjects.py,1069,286e03551dc163fe734d867627d73a1452ec32d2ffd31ae17fed96fd6c51deed,.py,source
web-main,projects/web-main/backend/api/tasks.py,6270,6fdef24f01459e7c275e9838a99503093bbe751489ef5116ad3db9827271a1f4,.py,source
web-main,projects/web-main/backend/api/teaching_data.py,6872,55a616691229a57b0943b19359ef2460b0c54e2ba6add2baeaf7fe3cfbfba535,.py,source
web-main,projects/web-main/backend/api/templates.py,967,d4abaea9759959b3b2adb6d2af62529aed6daef5a284a2023faee7c492c32f64,.py,source
web-main,projects/web-main/backend/api/test_epilepsy_phase_validator.py,15642,16ce0c6c082bb72e39f8bf28bd8e0c3163ff2c479fdf2082807742c1a5adbac5,.py,source
web-main,projects/web-main/backend/api/workflow.py,912,d42a80e578ce5b355c281404d4b1c8f5b220f34f70f6980a73c3aed9c028e051,.py,source
web-main,projects/web-main/backend/main.py,4604,421beae5214aaf03eaddb46b3b35bdc2a1ba9d6c393fe05aec3fd9cdaae548ee,.py,source
web-main,projects/web-main/backend/models/__init__.py,31,b499e7054cd33c0b87d71e0a9e2c54ad6716b5dce5c12c313606d67edba6ed09,.py,source
web-main,projects/web-main/backend/models/analysis_task.py,1438,262fcd6a58cac55ab5bf55b523e2a7886531ddbf34e62ccd037ed0ad1f5c5a72,.py,source
web-main,projects/web-main/backend/models/artifact.py,875,79bfc7c89d1d336f85852655237a9591fc38ff8eee3211dd6c91d53f6397fd50,.py,source
web-main,projects/web-main/backend/models/base.py,207,beb5ebc948946cff451e76dd65b0ffe5cbb37537ef03fe7f9ae0b4071c662afd,.py,source
web-main,projects/web-main/backend/models/data_preparation.py,12301,5895948c2446ea3cbd5e76e9229df2923989241665c13bcb8f5f2f5ecf56647e,.py,source
web-main,projects/web-main/backend/models/eeg_file.py,1564,bb29dc039a41732b62ad38667614145be77f4e179fc7e090d92b74cc1cb3b2bd,.py,source
web-main,projects/web-main/backend/models/governance.py,4926,0b525b14f03644b101f099d0094415ab329e42c2799d4e538466da9d3c7d1314,.py,source
web-main,projects/web-main/backend/models/project.py,1008,34f663dad6f453009f99972d639f5edd078f86970775d6a298bcd861520b89b0,.py,source
web-main,projects/web-main/backend/models/public_api.py,12457,0e700fa78e9d34002c8d18224e05ed8a8d7eb90a64f102cf1c581c18e172f9db,.py,source
web-main,projects/web-main/backend/models/report.py,1036,6061e7c82321cffdc61e39cd326caa90319f0686297fe24ad4ecd71d248383f5,.py,source
web-main,projects/web-main/backend/models/session.py,241,84e4a8e6ebe63cca158218fac8d3d8cdbc5ae270328c2ecd89de53f9ced52e94,.py,source
web-main,projects/web-main/backend/models/subject.py,356,b673007c196c7f9539e60ed63b8278c34e2af5968d562c2182becce253ec88bb,.py,source
