feature_id,module_id,project,layer,state,source_path,source_symbol,evidence,notes
api-route:projects/web-main/backend/api/eeg_files.py:30:list_eeg_files,platform.eeg-files,web-main,api,implemented-or-supporting,projects/web-main/backend/api/eeg_files.py,list_eeg_files,ROUTER.GET /eeg/files,AST-discovered route/registration
api-route:projects/web-main/backend/api/eeg_files.py:35:upload_eeg,platform.eeg-files,web-main,api,implemented-or-supporting,projects/web-main/backend/api/eeg_files.py,upload_eeg,ROUTER.POST /eeg/upload,AST-discovered route/registration
api-route:projects/web-main/backend/api/eeg_files.py:65:get_eeg_file,platform.eeg-files,web-main,api,implemented-or-supporting,projects/web-main/backend/api/eeg_files.py,get_eeg_file,ROUTER.GET /eeg/files/{file_id},AST-discovered route/registration
api-route:projects/web-main/backend/api/eeg_files.py:70:get_eeg_metadata,platform.eeg-files,web-main,api,implemented-or-supporting,projects/web-main/backend/api/eeg_files.py,get_eeg_metadata,ROUTER.GET /eeg/files/{file_id}/metadata,AST-discovered route/registration
api-route:projects/web-main/backend/api/eeg_files.py:76:get_eeg_waveform_chunk,platform.eeg-files,web-main,api,implemented-or-supporting,projects/web-main/backend/api/eeg_files.py,get_eeg_waveform_chunk,ROUTER.GET /eeg/files/{file_id}/waveform/chunk,AST-discovered route/registration
api-route:projects/web-main/backend/api/epilepsy_workbench.py:1180:get_epilepsy_task_events,feature.epilepsy,web-main,api,implemented-or-supporting,projects/web-main/backend/api/epilepsy_workbench.py,get_epilepsy_task_events,ROUTER.GET /epilepsy-workbench/{task_id}/events,AST-discovered route/registration
api-route:projects/web-main/backend/api/epilepsy_workbench.py:1347:get_event_evidence,feature.epilepsy,web-main,api,implemented-or-supporting,projects/web-main/backend/api/epilepsy_workbench.py,get_event_evidence,ROUTER.GET /epilepsy-workbench/{task_id}/events/{event_id}/evidence,AST-discovered route/registration
api-route:projects/web-main/backend/api/epilepsy_workbench.py:1400:get_epilepsy_phase_roadmap,feature.epilepsy,web-main,api,implemented-or-supporting,projects/web-main/backend/api/epilepsy_workbench.py,get_epilepsy_phase_roadmap,ROUTER.GET /epilepsy-workbench/phase-roadmap,AST-discovered route/registration
api-route:projects/web-main/backend/api/epilepsy_workbench.py:1409:create_all_events_evidence_package,feature.epilepsy,web-main,api,implemented-or-supporting,projects/web-main/backend/api/epilepsy_workbench.py,create_all_events_evidence_package,ROUTER.POST /epilepsy-workbench/{task_id}/evidence-package,AST-discovered route/registration
api-route:projects/web-main/backend/api/epilepsy_workbench.py:347:create_review_session,feature.epilepsy,web-main,api,implemented-or-supporting,projects/web-main/backend/api/epilepsy_workbench.py,create_review_session,ROUTER.POST /tasks/{task_id}/epilepsy-review-sessions,AST-discovered route/registration
